Manufacturer name;Manufacturer part number;PAR part number;Product name;Vendor account;Last receipt date
SOLIDTEK; KB-260ABU **(1);294004801;Keyboard 104 Key Usb Pizza Hut;SOL01;2/27/2023
SHURTAPE;#560;893001602;"Tape 2"" Clear With Par Logo";BRA17;10/5/2020
Amcor;#HPL17;850034801;JS970 Panasonic Terminal Box;AMC01;2/21/2023
Thruway Inc.;(SEE AVL DRAWING);842013501;"Screw,Pph,Type F,S/Z 2-56x1/4""";THR10;8/24/2021
QSR;001-0001;269008906;Epic Kds Cd Unserialized;QSR01;10/13/2020
QSR;001-2087;269008907;S/W License Epic Kds V11;QSR01;10/21/2021
QSR;001-4010;269008923;Qsr Table Service Pack;;
QSR;001-4013;269008924;Qsr Third Party H/W License;;
QSR;001-4021;269008919;Qsr Csk S/W License;;
IEI INTEGRATION CORP;001728002;001728002;Aw-Cash Drwr Mtg Template;;
QSR AUTOMATIONS, INC.;001-7690;269008930;Kitchen Capacity Management Service;;
QSR AUTOMATIONS, INC.;001-7900;269008927;Connect Smart Kitchen Server Monthly;;
QSR AUTOMATIONS, INC.;001-7901;269008929;Connect Smart Kitchen Table Service Add-On Package;;
QSR AUTOMATIONS, INC.;001-7903;269008928;Connect Smart Kitchen Display Screen;;
R-TRONICS, INC;001848501;001848501;C/A Rj45 Serial Loop Back;;
QSR;001-9001;269008908;Kds Software Maintenance;QSR01;8/21/2020
QSR;001-9007;269008920;Qsr Csk Annual S/W Maintenance;;
CUSTOM TOOL & MODEL CORP;001957101 (SEE DRAWING);001957101;Capacitive Pen;CTM01;1/13/2021
ICP;001962401;001962401;Pcb Assy Video W/O Touch;;
QSR;002-5010;C4702;10'Bump Bar Cable;CAB02;11/17/2021
QSR;002-5010;C4702;10'Bump Bar Cable;QSR01;5/6/2020
QSR AUTOMATIONS, INC.;002-5010;C4702;10'Bump Bar Cable;CAB02;11/17/2021
QSR AUTOMATIONS, INC.;002-5010;C4702;10'Bump Bar Cable;QSR01;5/6/2020
QSR AUTOMATIONS, INC.;002-5015;C4703;15' Bump Bar Cable;CAB02;10/30/2020
QSR;002-5015;C4703;15' Bump Bar Cable;CAB02;10/30/2020
QSR;002-5025;C4704;Cable -Bump Bar 25';CAB02;1/25/2023
QSR AUTOMATIONS, INC.;002-5025;C4704;Cable -Bump Bar 25';CAB02;1/25/2023
QSR AUTOMATIONS, INC.;002-6000;C4701;"8"" Pig Tail Cable";CAB02;8/15/2022
QSR;002-6000;C4701;"8"" Pig Tail Cable";CAB02;8/15/2022
SCHNORR;002800;932002101;Washer-Belleville;;
QSR;003-6710;542007901;Qsr Qbracket W/Keypad;QSR01;12/29/2020
QSR;003-7003;542004702;Brkt K3697-02 Pwr S Cbc Only;QSR01;6/24/2021
QSR;003-7004;K5289;Keypad Support Arm;;
ICP;004001712;004001712;"M7555b Bzl Res Tch 12""Blk 10pk";;
IEI INTEGRATION CORP;004003604;004003604;ES8100 VIDEO BD ASSY;;
Global Point Technology;004034001;004034001;"Chassis 15"" 4:3 Display";GLO31;2/1/2023
Global Point Technology;004034002;004034002;"Chassis 15"" 4:3 Display";;
PIONEER SERVICE INC.;004040102;004040102;Scr-M4 Shoulder 5mmx2.75 Zinc;THR10;9/13/2022
VETERANS FASTENER SUPPLY CORP.;004040402;004040102;Scr-M4 Shoulder 5mmx2.75 Zinc;THR10;9/13/2022
KAL MANUFACTURING;004046201-SEE DRAWING;004046201;Bracket-Pos 8 Wall Disconnect;KAL04;11/22/2022
KAL MANUFACTURING;004048401-SEE DRAWING;004048401;Bracket Pos8 Pop Display;KAL04;6/29/2021
KAL MANUFACTURING;004051901-SEE DRAWING;004051901;Cash Dwr Hang Brkt Strap;BRM01;10/20/2022
KAL MANUFACTURING;004052502-SEE DRAWING;004052502;Bracket Pos8 External Bio Rdr;KAL04;11/18/2021
XTO CORP;004057001;004057001;Sca Probe Holder Vhb Tape;;
BR METAL TECHNOLOGY, INC.;004077101;004077101;Soundbar Mounting Bracket;BRM01;1/6/2023
BR METAL TECHNOLOGY, INC.;004077501;004077501;BRACKET - KDS MONITOR ADAPTER;BRM01;3/16/2023
XTO CORP;004078401;004078401;Pivot-Resistance-Pad;;
International Paper and Ribbon;005;A3804A;RIBBON,BLK INK M38XX PTRS;;
ICP Electronics;005B556-00-101-RS;980029501;M3720: Controller PCBA;;
IEI INTEGRATION CORP;00EE397-00-104-RS;001968702;M7700 Mother Board Assy;ICP01;12/23/2019
MS CASH DRAWERS;010(3mm);980023908;Ley Lock (3 Position);;
CyberData Corporation;010665A;C6220;Powered USB Connector Cable;CYB05;9/14/2022
CYBER DATA CORP;010665A;C6220;Powered USB Connector Cable;CYB05;9/14/2022
EPSON EPS12;010892B / SKU WA010892B;980017670;SBII Serial DB25;;
CYBER DATA CORP;011283A;C3876;C/A 24v Pwr Usb-Hosiden & Usb;CYB05;2/22/2023
CyberData Corporation;011543A;C6220-12;+12V Powered USB Adapter Cable for ES650 and ES675;CYB05;12/16/2021
Diebold Nixdorf, Inc.;01750353985;980029901;Diebold Storm Panel Retrofit Kit for McDonalds;DIE02;1/7/2022
Diebold Nixdorf, Inc.;01750353986;980030201;Diebold Label Replacement Kit for McDonalds;DIE02;1/7/2022
Diebold Nixdorf, Inc.;01750353987;980030101;Diebold Storm Installation Kit for McDonalds;DIE02;1/7/2022
Diebold Nixdorf, Inc.;01750353990;980030001;Diebold Storm Replacement Kit for McDonalds;DIE02;1/7/2022
Zebra Technologies Corporation;01970-080-3;980026267;Zebra Paper Guide;;
QSR AUTOMATIONS, INC.;02-6015;986002806;C/A 15' USB Cable Spare Part;;
QSR AUTOMATIONS, INC.;02-6015;C4710-13;C/A 15' USB Cable for KP-7500 BB;QSR01;3/30/2022
QSR;02-6015;C4710-13;C/A 15' USB Cable for KP-7500 BB;QSR01;3/30/2022
legrand;03983;467035906;C/A Cat6 Lan 6ft Black 5 Guys;CAB02;5/11/2021
IEI INTERGRATION CORP;03ZD645-01-101-RS-GO;001969501;M7700 Video Assembly;ICP01;7/26/2021
IEI INTERGRATION CORP;03ZD645-01-101-RS-GO;001969501;M7700 Video Assembly;PAR100;2/1/2023
legrand;04000;467035902;C/A Cat6 Lan 6ft Red 5guys;CAB02;6/3/2021
Perle;04001660;180002502;Pci Card 4 Port Pizza Hut;;
QUAIL ELECTRONICS INC;0401.072;F2317;Y CBLE PWR CORD 6';CAB10;3/11/2022
QUAIL ELECTRONICS INC;0401.072;F2317;Y CBLE PWR CORD 6';QUA18;3/21/2022
legrand;04036;467035904;C/Acat6 Lan 6ft White 5 Guys;CAB02;2/20/2023
INVENTORY PLUS;0448;544002101;Foot, Rnd-Rec. No.8 .43x1.03;;
Fair-Rite Products Corp;0461164951;7001597251;Ferrite - 215 Ohm, Hinged, 5.11 mm;;
Zhangjiagang Hongsheng Technology Co., Ltd.;05.04.32.217;980015855;Coin Cup;THO15;1/4/2023
ZEBRA;05095BK06045;828000504;"Zebra Ptr Ribbon 2.36"" (5095)";AMA04;12/8/2022
PEAK TECHNOLOGIES;06000BK11045;828000503;Zebra Ptr Ribbon (Z2100);INT52;1/10/2022
Zebra Technologies Corporation;06000BK11045;828000503;Zebra Ptr Ribbon (Z2100);INT52;1/10/2022
TRANSACT;06-0700;980002848;Clip-Bail Lock Connector;;
legrand;06091;C3802;C/A,Prtr Db25/Centronics 10ft;CAB02;9/28/2020
Mutual Screw & Supply;0806 HPFKC;848003920;#8-18X.375 HI-LO Philips Flat Head Screw;THR10;3/8/2023
AVERY;08462;882000101;Cable Tie Adhesive Bkd.;HAR22;11/22/2022
AVERY;08462;882000101;Cable Tie Adhesive Bkd.;ROM01;2/25/2020
AVERY;08462;882000101;Cable Tie Adhesive Bkd.;THR10;3/8/2023
HITACHI;0A5641;950005472;"Hdd 2.5"" Sata 500gb";AMA04;9/7/2022
HITACHI;0A5641;950005472;"Hdd 2.5"" Sata 500gb";NEW47;8/18/2021
Adapter Technology Co., Ltd;0AD8-9605-30EG;988017103;Power Supply For K4424 Extndr;ING03;7/20/2020
Adapter Technology Co., Ltd;0AD8-9605-30EG;988017103;Power Supply For K4424 Extndr;SYN10;9/19/2022
STATIC CONTROL COMPONENTS;1001012;850008701;Bag-Trans 12x10 Stat Barr;;
PEAK TECHNOLOGIES;10011694;754001806;"Label-Blank 1.75"" X .75""";INT52;5/28/2021
PEAK TECHNOLOGIES;10011697R OR 10011697;754001801;Label-Blank 2 X 1;INT52;2/20/2023
POSBank;10011815;980027039;Evs 600 Power Supply;POS36;10/17/2022
POSBank;10011822;980027023;"Evs 600 15"" Lcd";PAR100;2/1/2023
POSBank;10011822;980027023;"Evs 600 15"" Lcd";POS36;12/7/2022
POSBank;10011822;M6165-25;15.6” LCD Panel Terminal 4GB, 64GB (Innodisk) SSD;POS36;8/26/2022
POSBank;10011981;980027018;Es600 2nd Hinge Assy (Cd Hinge;POS36;3/26/2021
Zebra Technologies Corporation;10011981;755048601;Label, Headset Carrier, BIS India;;
POSBank;10011995;980027026;Evs 600 Power Key Cable;POS36;1/6/2020
POSBank;10011996;980027025;"Evs 600 Lvds Cable 15""";PAR100;2/1/2023
POSBank;10011996;980027025;"Evs 600 Lvds Cable 15""";POS36;12/12/2019
POSBank;10012049;980027091;M4x12 Screws (Bag of 2);;
POSBank;10012070;980027086;Air Cell - Air-Cell Apexa G;;
STATIC CONTROL COMPONENTS;1001216;850008704;Bag-Trans 16x12 Stat Barr.;HAR22;5/12/2020
POSBank;10012513;980027019;Es600 2nd Swivel Cvr(Cd Hinge);POS36;3/26/2021
POSBank;10012539;980027082;4GB Memory for M616x and M617x;POS36;7/18/2022
POSBank;10012576;980027005;Evs 600 Em Msr Rear Case;POS36;1/6/2020
POSBank;10012586;980027087;16GB Memory for M616x and M617x;POS36;1/30/2023
POSBank;10012588;980027083;8GB Memory for M616x and M617x;POS36;2/20/2023
POSBank;10012716;980027037;Evs 600 Vfd 2x20 Module;POS36;2/27/2023
POSBank;10012783;980027002;Evs 600 Rear Case;POS36;3/1/2023
POSBank;10012784;980027003;Evs 600 I/O Cover;POS36;12/19/2022
POSBank;10012785;980027006;Evs 600 Hinge Cap;POS36;1/6/2020
POSBank;10012786;980027007;Evs 600 Stand Front;POS36;11/7/2022
POSBank;10012790;980027012;Evs 600 Lcd Chassis;POS36;1/6/2020
POSBank;10012793;980027085;Terminal Box - AX PAR C/T;;
POSBank;10012804;980027092;Warranty Void Label;;
POSBank;10012806;K6620;2x20 Customer Display;PAR100;2/1/2023
POSBank;10012806;K6620;2x20 Customer Display;POS36;3/2/2023
POSBank;10012817;980027043;Es600 3trk Msr Module;POS36;11/3/2020
POSBank;10012853;M8575;Cash Drawer Black with Media Slot;POS36;10/7/2021
POSBank;10012861;K6622;"9.7"" Customer Display";PAR100;1/25/2023
POSBank;10012861;K6622;"9.7"" Customer Display";POS36;2/2/2023
POSBank;10013012;M6150;"15"" LCD PCap Panel Terminal Pedestal 4GB RAM 64GB SSD";POS36;3/9/2023
POSBank;10013014;C6215;Dual Cash Drawer Cable;POS36;1/30/2023
POSBank;10013015;K6341;3 Track Card Reader;PAR100;2/1/2023
POSBank;10013015;K6341;3 Track Card Reader;POS36;3/7/2023
POSBank;10013016;K6342;3 Trk Card Reader W/Bio Reader;POS36;2/28/2023
POSBank;10013020;C6200;RJ45 to DB9 M/M 120cm Serial RS232 Adaptor Cable - Black;PAR100;2/1/2023
POSBank;10013020;C6200;RJ45 to DB9 M/M 120cm Serial RS232 Adaptor Cable - Black;POS36;12/6/2022
POSBank;10013020;C6200;RJ45 to DB9 M/M 120cm Serial RS232 Adaptor Cable - Black;PTCB;11/23/2022
POSBank;10013021;K6622T;"9.7"" Customer Display Touch";POS36;10/1/2021
POSBank;10013021;K6622T;"9.7"" Customer Display Touch";PTCB;11/23/2022
POSBank;10013023;K6624;"12"" Customer Display";PAR100;2/1/2023
POSBank;10013023;K6624;"12"" Customer Display";POS36;12/6/2022
POSBank;10013026;K6624T;"12"" Customer Display Touch";PAR100;2/1/2023
POSBank;10013026;K6624T;"12"" Customer Display Touch";POS36;10/7/2022
POSBank;10013026;K6624T;"12"" Customer Display Touch";PTCB;11/23/2022
POSBank;10013028;M6150-10;"15"" LCD PCap Panel Terminal w/o Pedestal 4GB RAM 64GB SSD";POS36;1/24/2023
POSBank;10013029;K6150;Vesa Adapter Bracket;POS36;7/16/2021
POSBank;10013100;M6150-01;"15"" LCD PCap Panel Terminal Pedestal 4GB RAM 128GB SSD";POS36;8/15/2022
POSBank;10013130;980027062;Es600 Top Cover Fru;POS36;12/19/2022
POSBank;10013194;980027732;RJ45 (Right Angle) - DB9 Cable;POS36;9/15/2022
POSBank;10013197;M6150-11;"15"" LCD PCap Panel Terminal w/o Pedestal 8GB RAM 128GB SSD";;
POSBank;10013199;M6150-02;"15"" LCD PCap Panel Terminal Pedestal 8GB RAM 128GB SSD";POS36;3/20/2023
POSBank;10013218;980027078;Foot;POS36;2/20/2023
POSBank;10013229;980027080;Power Supply for M616x and M617x;POS36;11/16/2022
POSBank;10013243;M6155;"15.6"" LCD PCap Panel Terminal Pedestal 4GB RAM 64GB SSD";POS36;4/7/2022
POSBank;10013244;M6155-10;"15.6"" LCD PCap Panel Terminal w/o Pedestal 4GB RAM 64GB SSD";;
POSBank;10013273;M3901;Serial,USB and Ethernet Printer;POS36;12/6/2022
POSBank;10013273;M3901;Serial,USB and Ethernet Printer;PTCB;11/23/2022
POSBank;10013284;M6150-03;"15"" LCD PCap Panel Terminal Pedestal 8GB RAM 64GB SSD";POS36;7/25/2022
POSBank;10013286;980027071;"15.6"" Top Cover Fru";POS36;1/30/2023
POSBank;10013342;M6155-02;"15.6"" LCD PCap Panel Terminal Pedestal 8GB RAM 128GB SSD";PTCB;11/23/2022
POSBank;10013348;M6150-12;"15"" LCD PCap Panel Terminal w/o Pedestal 8GB RAM 64GB SSD";POS36;6/7/2022
POSBank;10013380;980027022;Evs 600 Main Board;PAR100;2/1/2023
POSBank;10013380;980027022;Evs 600 Main Board;POS36;12/1/2022
POSBank;10013381;980027075;M6155-Xx Mother Board;POS36;12/7/2022
POSBank;10013382;980027076;"15"" Touch Panel W/Touch Brkt";POS36;1/24/2023
POSBank;10013492;980027802;Keylock;;
POSBank;10013493;980027801;K01 - Key;POS36;4/18/2022
POSBank;10013494;980027803;Roller;;
POSBank;10013495;980027804;Solenoid;;
POSBank;10013496;980027805;Full Bracket Set;;
POSBank;10013497;980027806;Micro-Switch;;
POSBank;10013531;K8576;Int'L Insert For M8575 C/D;POS36;7/20/2022
POSBank;10013620;M8575-01;International Cash Drawer Black with Media Slot;POS36;12/8/2022
POSBank;10013639;K6341A;Agilysys Msr;POS36;12/14/2022
POSBank;10013741;M6170;"15"" LCD i5 Terminal Pedestal 4GB RAM 64GB SSD";POS36;8/4/2021
POSBank;10013756;M6160;"15"" LCD Celeron Terminal Pedestal 4GB RAM 64GB SSD";POS36;8/23/2022
POSBank;10013820;988023101;"EverServ650 3965U 15"" Terminal 4GB Memory - No SSD";POS36;8/19/2020
POSBank;10013821;988023102;"EverServ650 3965U 15.6"" Terminal 4GB Memory - No SSD";POS36;6/24/2022
POSBank;10013822;988023103;"EverServ675 7200U 15"" Terminal 4GB Memory - No SSD";POS36;7/1/2021
POSBank;10013823;988023104;"EverServ675 7200U 15.6"" Terminal 4GB Memory - No SSD";POS36;6/29/2020
POSBank;10013838;980027081;LVDS Cable AXH-02-4 Dimming M616x and M617x;;
POSBank;10014080;988023105;"EverServ650 3965U 15"" Terminal 8GB Memory - No SSD";;
POSBank;10014081;988023106;"EverServ655 3965U 15.6"" Terminal 8GB Memory - No SSD";;
POSBank;10014082;988023107;"EverServ670  7200U 15"" Terminal 8GB Memory - No SSD";;
POSBank;10014083;988023108;"EverServ675  7200U 15.6"" Terminal 8GB Memory - No SSD";;
POSBank;10014084;980027079;Main Board for M6160;POS36;10/10/2022
POSBank;10014085;980027084;Main Board for M6165;POS36;10/10/2022
POSBank;10014086;980027088;Main Board for M6170;POS36;1/30/2023
POSBank;10014087;980027089;Main Board for M6175;POS36;1/30/2023
POSBank;10014129;980027042;ES600 128 GB SSD;POS36;1/17/2023
POSBank;10014136;988023109;"EverServ650 3965U 15"" Terminal 16GB Memory - No SSD";;
POSBank;10014137;988023110;"EverServ650 3965U 15.6"" Terminal 16GB Memory - No SSD";;
POSBank;10014138;988023111;"EverServ675 7200U 15"" Terminal 16GB Memory - No SSD";;
POSBank;10014139;988023112;"EverServ675 7200U 15.6"" Terminal 16GB Memory - No SSD";;
POSBank;10014147;980027040;Evs 600 4gb Memory;;
POSBank;10014185;K6621;2x20 DBL Byte Customer Display w/ Korean Character Set;PAR100;2/1/2023
POSBank;10014185;K6621;2x20 DBL Byte Customer Display w/ Korean Character Set;POS36;6/27/2022
POSBank;10014215;980029210;Helix: Cover MSR Mounting;;
POSBank;10014245;980029229;Helix: Touch Controller - ACDC #AM126BS-PB-014-A1;;
POSBank;10014247;980029225;Helix: Mini DP PCBA MP-03;;
POSBank;10014248;980029224;Helix: Flex PCBA - MP-04;;
POSBank;10014250;980029223;Helix: Dual USB PCBA - MP-06;;
POSBank;10014258;980029219;Helix: Thermal Pad / System Box;;
POSBank;10014264;980029208;Helix: 12v Power Supply;POS36;1/26/2022
POSBank;10014286;980029233;Helix: VFD Mini DP Cable (MAH-07);;
POSBank;10014306;M6250;"PAR Helix: 13.3"" LCD, J3455 CPU, 4 GB SDRAM, 128 GB Storage";;
POSBank;10014307;M6250-02;"PAR Helix: 13.3"" LCD, J3455 CPU, 8 GB SDRAM, 128 GB Storage";POS36;10/22/2021
POSBank;10014308;K6251;PAR Helix: 3 track MSR;POS36;7/23/2021
POSBank;10014309;K6252;PAR Helix: Biometric - Fingerprint Reader;POS36;7/23/2021
POSBank;10014310;K6253;PAR Helix: 2x20 VFD Customer Display;POS36;11/5/2021
POSBank;10014311;K6254T;"PAR Helix: 9.7"" LCD Customer Display with touch";POS36;2/3/2023
POSBank;10014312;K6250;PAR Helix: I/O Expansion Box;POS36;7/22/2021
POSBank;10014321;980029231;"Helix: 13.3"" LCD KJC Tech #JMW133FH385";;
POSBank;10014347;980029228;"Helix: 13.3"" Touch Panel - ACDC #DY1332W-4359";;
POSBank;10014348;980029232;"Helix: 13.3"" LCD Control PCBA  MP-08";;
POSBank;10014349;980029230;"Helix:13.3"" I-PEX Cable - MAH-11";;
POSBank;10014354;980029212;Helix: Cover Customer Display Mounting;;
POSBank;10014355;980029211;Helix: Cover Fingerprint Mounting;POS36;3/9/2022
POSBank;10014357;980029213;Helix: Cover System Box, Deco Rear MAS-24;;
POSBank;10014358;980029227;Helix: MSR Flex PCBA MP-09;;
POSBank;10014360;980029226;Helix: Fingerprint Flex PCBA MP-10;;
POSBank;10014363;980029204;Helix: 128 GB NVMe SSD;;
POSBank;10014365;980029214;Helix: Cover Pedestal Stand;;
POSBank;10014367;980029235;Helix: Coin Cell Battery Assy;;
POSBank;10014373;980029218;Helix: IO Box Mounting Bracket;;
POSBank;10014376;980029217;Helix: USB-C Cable, 1.5m without screw lock;;
POSBank;10014377;980029216;Helix: USB-C Cable, 1.5m w screw lock;POS36;10/21/2021
POSBank;10014407;K8576-01;K8576-01 Coin Cup for M8575-01 Cash Drawer;POS36;12/8/2022
POSBank;10014411;K6255;PAR Helix: VESA Wall Mount Storage Enclosure;POS36;4/26/2021
POSBank;10014415;K6254;"PAR Helix: 9.7"" LCD Customer Display";POS36;12/6/2022
POSBank;10014441;M6160-25;15” LCD Panel Term 4GB, 64GB (Innodisk) SSD;;
POSBank;10014498;980029237;"Helix: Carton - 2 ply corrugated 20.6"" x 12.3"" x 7.2""";;
POSBank;10014551;M6160-21FT;"McD 15"" LCD PCAP TERM w/FULL TILT 8GB, 64GB (Innodisk) SSD";POS36;2/9/2022
POSBank;10014559;980027090;AXP-09 2nd Tilt Bracket;;
POSBank;10014560;M6160-20;"15"" LCD Celeron 4GB Ram 64GB Innodisk or 128GB Transcend SSD";PAR100;2/7/2023
POSBank;10014560;M6160-20;"15"" LCD Celeron 4GB Ram 64GB Innodisk or 128GB Transcend SSD";POS36;1/24/2023
POSBank;10014562;K6620-01;2x20 Display without Hinge Assembly for ES600 Family;POS36;2/2/2023
POSBank;10014563;980029222;Helix: POS without system box;;
POSBank;10014564;980029221;Helix: Display assembly without system box;;
POSBank;10014565;980029220;Helix: Pedestal only with display mount screws;;
POSBank;10014567;980029201;Helix: CPU 4GB/128GB Obsolete;;
POSBank;10014568;980029202;Helix: J3455 CPU, 8GB SDRAM, 128GB SSD;;
POSBank;10014576;980029207;Helix: IO Expansion Box without power supply;;
POSBank;10014577;K6621;2x20 DBL Byte Customer Display w/ Korean Character Set;PAR100;2/1/2023
POSBank;10014577;K6621;2x20 DBL Byte Customer Display w/ Korean Character Set;POS36;6/27/2022
POSBank;10014579;980027807;K03 – Key (set of 2);;
POSBank;10014685;M6170-01;"15""LCD PCAP Term 4GB, 128GB i5";POS36;4/26/2021
POSBank;10014713;M6165-25;15.6” LCD Panel Terminal 4GB, 64GB (Innodisk) SSD;POS36;8/26/2022
POSBank;10014727;M6165-20;"15.6"" LCD Cel 4GB Ram 64GB Innodisk or 128GB Transcend SSD";POS36;8/16/2022
POSBank;10014903;M6155-03;"15.6"" LCD PCap Terminal Pedestal 8GB RAM 64GB SSD";POS36;3/7/2023
POSBank;10014947;K6150B;Matte Black VESA Adapter for ES600;POS36;9/8/2022
POSBank;10015141;980027041;Evs 600 8gb Memory;POS36;1/30/2023
STATIC CONTROL COMPONENTS;1001518;850008706;Bag-Trans 18x15 Stat Barr.;HAR22;12/8/2022
POSBank;10015307;K6621-01;2x20 DBL Byte Display w/Simplified Chinese Character Set;;
POSBank;10015388;M6150-20;"15"" LCD PCap Panel Terminal Pedestal 4GB Ram 64GB SSD";PAR100;2/7/2023
POSBank;10015388;M6150-20;"15"" LCD PCap Panel Terminal Pedestal 4GB Ram 64GB SSD";POS36;7/6/2022
POSBank;10015542;980027024;Evs 600 Touch Screen;POS36;12/1/2022
POSBank;10016415;C8575-06;6FT Cable for M8575 Cash Drawer;POS36;11/28/2022
Zebra Technologies Corporation;10018340;754001804;Label 4 X 6 Paper;WSP01;8/18/2022
Zebra Technologies Corporation;10018340;755048502;Label, Color Product Carton;;
Zebra Technologies Corporation;10023161;755048501;Label, Color Product Requlatory;;
Zebra Technologies Corporation;10025787P;754001901;Lbl-Wht Polimide Film;HAR22;2/15/2021
Zebra Technologies Corporation;10025787P;754001901;Lbl-Wht Polimide Film;INT52;2/21/2022
Berk-Tek;10032235;465006501;300 Foot Spool - Cat5e Network Cable;PTCB;2/21/2022
Berk-Tek;10032235;465006501;300 Foot Spool - Cat5e Network Cable;SIM01;3/13/2023
Berk-Tek;10032235;465006501;300 Foot Spool - Cat5e Network Cable;WES25;5/23/2022
STATIC CONTROL COMPONENTS;10046;850008702;Bag-Trans 6x4 Stat Barr.;;
STATIC CONTROL COMPONENTS;100812;850008707;Bag-Static 8 X 12;;
BR METAL TECHNOLOGY, INC.;100D293-G-1-A;K3700-04;Brkt Bump Bar Sup Arm Pza Hut;BRM01;9/12/2022
Omnitronix;100PRINTER;980028701;Parallel Data Extender 100 FT;;
OMNITRONICS;100USBBBCBL;467030402;C/A 100ft Usb Bump Bar Mcd;OMN03;10/11/2022
Omnitronix;100USBBBCBL;467036501;C/A 50ft Telephone Mcds;OMN03;11/15/2022
OMNITRONIX CORP;100VGAP;C3647;C/A Clr Vga M/F 100' Ddc-2;CAB02;1/6/2021
OMNITRONIX CORP;100VGAP;C3647;C/A Clr Vga M/F 100' Ddc-2;OMN03;9/21/2022
Lexmark International, Inc.;1021294;C8600R;Usb Ptr Cble 2 Meters Rohs;CAB02;2/14/2023
LEXMARK;1021294;C8600R;Usb Ptr Cble 2 Meters Rohs;CAB02;2/14/2023
ParTech, Inc.;103009;980024252;Dell Optplx 160gb Hd (W/Image);;
ParTech, Inc.;103010;980024253;Dell Optplx 250gb Hd (W/Image);;
Monoprice;10450;7001596197;LCD Display Mounting Bracket - Silver;;
Avnet;10450;542011701;Monitor Mount;;
MS CASH DRAWERS;1051-5;553001401;Ms Cash Drwr Till Insrt 1051-5;MSC01;8/11/2021
TECHNI-TOOL;105ST4610;902000710;Grounding Blk W/Coil Cord&Clip;CON07;4/4/2022
FASTENAL COMPANY;10642-07660;26102188450;Screw,TF,0-42x.188,Plastite,Cheese Hd,Torx,Stl,Zinc;;
MS CASH DRAWERS;1070-HP123;542006901;Sgl Ms Drawer Mounting Bracket;;
MS CASH DRAWERS;1070-HP123-D;542007001;Dbl Ms Drawer Mounting Bracket;;
QUAIL;1090.072;F2330;Pwr Cord Es2k 6ft Mini 3p Usa;CAB02;9/15/2020
LENOVO;10UYS1MH02;988023301;KVS Controller M625q McDonald's 3 yr. Warranty;;
LENOVO;10UYS1MJ02;988023302;KVS Controller M625q McDonald's 5 yr. Warranty;SYN10;4/7/2022
LENOVO;10UYS1T300;988023303;KVS Controller McDonald's 5 Yr.;SYN10;2/27/2023
OMNITRONIX CORP;10VGAP;C3641;C/A CLR VGA M/F 10' DDC-2;CAB02;11/29/2021
Telequip Corp.;110-332;980011706;Interface Cable, DB9-RJ45;OMN03;11/23/2022
VERIFONE;110868-003;980026204;Zebra Kr403 Printer;VER08;5/13/2020
VERIFONE;110868-003;980026204;Zebra Kr403 Printer;ZIV01;1/17/2020
ZEBRA;110868-003;980026204;Zebra Kr403 Printer;VER08;5/13/2020
ZEBRA;110868-003;980026204;Zebra Kr403 Printer;ZIV01;1/17/2020
American Electrical Inc.;11121015;146020201;Black Wire Ferrule Connector DIN 16 AWG Single Wire;;
American Electrical Inc.;11122015;146020101;Red Wire Ferrule Connector W 16 AWG Single Wire;;
VERIFONE;1113376-001;980026202;Dell 7040 Thin Client Pc;VER08;11/22/2022
VERIFONE;1113376-001;980026202;Dell 7040 Thin Client Pc;ZIV01;2/28/2020
HARDWARE SPECIALTY;1126354;26102133670;Screw,TF,0-42x.188,Plastite,Pan,Torx,Stl,Zinc w/Black Magni;;
ParTech, Inc.;113003;980024254;Hp Rp5800 250gb Hd (W/Image);;
Cable Matters Inc.;113051;467010911;VGA Video Splitter Cable;CAB02;4/6/2021
Cable Matters Inc.;113051;467010911;VGA Video Splitter Cable;PTCB;2/21/2022
ParTech, Inc.;114003;980024255;Hp Rp5810 128gb Ssd W/Erest;;
ZEBRA;116435-103;980026205;Epson T88v Printer Kit;VER08;3/3/2023
ZEBRA;116435-103;980026205;Epson T88v Printer Kit;ZIV01;2/28/2020
VERIFONE;116435-103;980026205;Epson T88v Printer Kit;VER08;3/3/2023
VERIFONE;116435-103;980026205;Epson T88v Printer Kit;ZIV01;2/28/2020
VERIFONE;116440-101;980026219;Elec Safety Outlet Cvr Plug 50;;
VERIFONE;117700-101;980026214;Rj45 Patch Cable Green;;
VERIFONE;117701-101;980026213;Rj45 Patch Cable Yellow;;
VERIFONE;117702-001;980026207;Epson T88v Ptr Pwr Cable;;
VERIFONE;117836-001;980026208;Hdmi M To Disp Port M Cble;;
VERIFONE;118129-001;980026212;Biscuit Box;;
VERIFONE;118132-001;980026209;Cat5e Cable Yellow;;
VERIFONE;118133-001;980026211;Cat5e Cable Blue;;
VERIFONE;118134-001;980026210;Cat5e Cable Green;;
VERIFONE;118196-003;980026203;Hwell 332og Barcode Scanner&Ca;VER08;12/7/2022
VERIFONE;118215-001;980026215;Epson Tm-T88v Ptr Pwr Supply;;
VERIFONE;118216-001;980026216;Display Usb Cable Usb-A/Usb-B;;
Reel Precision manufacturing Corp.;12-001;680000901;Hinge,Position,Black,7.0,Lb-In;REE10;11/22/2022
PEAK TECHNOLOGIES;12340023134;754001901;Lbl-Wht Polimide Film;HAR22;2/15/2021
